date,item_code,item_name,category,unit,stock_on_hand,daily_demand,receipts,lead_time_days,safety_stock
2026-07-07,RM-002,Vegetable Oil,Raw Material,litre,2547.13,132.38,0.0,10,10
2026-07-08,RM-002,Vegetable Oil,Raw Material,litre,2401.76,145.37,0.0,10,10
2026-07-09,RM-002,Vegetable Oil,Raw Material,litre,2267.45,134.3,0.0,10,10
2026-07-10,RM-002,Vegetable Oil,Raw Material,litre,2151.65,115.8,0.0,10,10
2026-07-11,RM-002,Vegetable Oil,Raw Material,litre,2021.17,130.49,0.0,10,10
2026-07-12,RM-002,Vegetable Oil,Raw Material,litre,1919.33,101.83,0.0,10,10
2026-07-13,RM-002,Vegetable Oil,Raw Material,litre,1778.74,140.59,0.0,10,10
2026-07-14,RM-002,Vegetable Oil,Raw Material,litre,1661.0,117.75,0.0,10,10
2026-07-15,RM-002,Vegetable Oil,Raw Material,litre,2750.7,110.3,1200.0,10,10
2026-07-16,RM-002,Vegetable Oil,Raw Material,litre,2639.9,110.8,0.0,10,10
2026-07-17,RM-002,Vegetable Oil,Raw Material,litre,2520.78,119.12,0.0,10,10
2026-07-18,RM-002,Vegetable Oil,Raw Material,litre,2406.44,114.34,0.0,10,10
2026-07-19,RM-002,Vegetable Oil,Raw Material,litre,2253.47,152.97,0.0,10,10
2026-07-20,RM-002,Vegetable Oil,Raw Material,litre,2143.81,109.66,0.0,10,10
2026-07-21,RM-002,Vegetable Oil,Raw Material,litre,2023.34,120.47,0.0,10,10
2026-07-22,RM-002,Vegetable Oil,Raw Material,litre,1902.93,120.4,0.0,10,10
2026-07-23,RM-002,Vegetable Oil,Raw Material,litre,1782.53,120.41,0.0,10,10
2026-07-24,RM-002,Vegetable Oil,Raw Material,litre,1619.45,163.08,0.0,10,10
2026-07-25,RM-002,Vegetable Oil,Raw Material,litre,1466.81,152.64,0.0,10,10
2026-07-26,RM-002,Vegetable Oil,Raw Material,litre,1316.15,150.66,0.0,10,10
2026-07-27,RM-002,Vegetable Oil,Raw Material,litre,1170.91,145.24,0.0,10,10
2026-07-28,RM-002,Vegetable Oil,Raw Material,litre,1037.84,133.07,0.0,10,10
2026-07-29,RM-002,Vegetable Oil,Raw Material,litre,871.64,166.21,0.0,10,10
2026-07-30,RM-002,Vegetable Oil,Raw Material,litre,690.5,181.14,0.0,10,10
2026-07-01,RM-003,Sugar,Raw Material,kg,2306.52,93.48,0.0,8,8
2026-07-02,RM-003,Sugar,Raw Material,kg,2213.22,93.3,0.0,8,8
2026-07-03,RM-003,Sugar,Raw Material,kg,2117.02,96.2,0.0,8,8
2026-07-04,RM-003,Sugar,Raw Material,kg,2022.55,94.47,0.0,8,8
2026-07-05,RM-003,Sugar,Raw Material,kg,1939.78,82.76,0.0,8,8
2026-07-06,RM-003,Sugar,Raw Material,kg,1823.4,116.38,0.0,8,8
2026-07-07,RM-003,Sugar,Raw Material,kg,1718.13,105.27,0.0,8,8
2026-07-08,RM-003,Sugar,Raw Material,kg,1626.67,91.46,0.0,8,8
2026-07-09,RM-003,Sugar,Raw Material,kg,1523.11,103.57,0.0,8,8
2026-07-10,RM-003,Sugar,Raw Material,kg,1428.37,94.74,0.0,8,8
2026-07-11,RM-003,Sugar,Raw Material,kg,1330.91,97.46,0.0,8,8
2026-07-12,RM-003,Sugar,Raw Material,kg,1226.54,104.37,0.0,8,8
2026-07-13,RM-003,Sugar,Raw Material,kg,1115.1,111.44,0.0,8,8
2026-07-14,RM-003,Sugar,Raw Material,kg,996.87,118.23,0.0,8,8
2026-07-15,RM-003,Sugar,Raw Material,kg,876.42,120.45,0.0,8,8
2026-07-16,RM-003,Sugar,Raw Material,kg,779.41,97.01,0.0,8,8
2026-07-17,RM-003,Sugar,Raw Material,kg,685.41,94.0,0.0,8,8
2026-07-18,RM-003,Sugar,Raw Material,kg,584.21,101.2,0.0,8,8
2026-07-19,RM-003,Sugar,Raw Material,kg,482.67,101.54,0.0,8,8
2026-07-20,RM-003,Sugar,Raw Material,kg,391.48,91.19,0.0,8,8
2026-07-21,RM-003,Sugar,Raw Material,kg,298.93,92.55,0.0,8,8
2026-07-22,RM-003,Sugar,Raw Material,kg,189.17,109.76,0.0,8,8
2026-07-23,RM-003,Sugar,Raw Material,kg,69.47,119.7,0.0,8,8
2026-07-24,RM-003,Sugar,Raw Material,kg,0.0,97.28,0.0,8,8
2026-07-25,RM-003,Sugar,Raw Material,kg,0.0,92.22,0.0,8,8
2026-07-26,RM-003,Sugar,Raw Material,kg,0.0,96.6,0.0,8,8
2026-07-27,RM-003,Sugar,Raw Material,kg,0.0,88.06,0.0,8,8
2026-07-28,RM-003,Sugar,Raw Material,kg,0.0,96.73,0.0,8,8
2026-07-29,RM-003,Sugar,Raw Material,kg,0.0,105.07,0.0,8,8
2026-07-30,RM-003,Sugar,Raw Material,kg,0.0,99.02,0.0,8,8
2026-07-01,RM-004,Tomato Paste,Raw Material,carton,1586.85,63.15,0.0,12,7
2026-07-02,RM-004,Tomato Paste,Raw Material,carton,1530.86,56.0,0.0,12,7
2026-07-03,RM-004,Tomato Paste,Raw Material,carton,1472.68,58.18,0.0,12,7
2026-07-04,RM-004,Tomato Paste,Raw Material,carton,1418.66,54.02,0.0,12,7
2026-07-05,RM-004,Tomato Paste,Raw Material,carton,1354.98,63.68,0.0,12,7
2026-07-06,RM-004,Tomato Paste,Raw Material,carton,1308.05,46.93,0.0,12,7
2026-07-07,RM-004,Tomato Paste,Raw Material,carton,1255.05,53.0,0.0,12,7
2026-07-08,RM-004,Tomato Paste,Raw Material,carton,1207.8,47.25,0.0,12,7
2026-07-09,RM-004,Tomato Paste,Raw Material,carton,1147.34,60.45,0.0,12,7
2026-07-10,RM-004,Tomato Paste,Raw Material,carton,1086.73,60.61,0.0,12,7
2026-07-11,RM-004,Tomato Paste,Raw Material,carton,1053.19,33.54,0.0,12,7
2026-07-12,RM-004,Tomato Paste,Raw Material,carton,1010.33,42.86,0.0,12,7
2026-07-13,RM-004,Tomato Paste,Raw Material,carton,975.86,34.47,0.0,12,7
2026-07-14,RM-004,Tomato Paste,Raw Material,carton,946.04,29.82,0.0,12,7
2026-07-15,RM-004,Tomato Paste,Raw Material,carton,911.5,34.54,0.0,12,7
2026-07-16,RM-004,Tomato Paste,Raw Material,carton,854.12,57.38,0.0,12,7
2026-07-17,RM-004,Tomato Paste,Raw Material,carton,800.67,53.45,0.0,12,7
2026-07-18,RM-004,Tomato Paste,Raw Material,carton,730.72,69.95,0.0,12,7
2026-07-19,RM-004,Tomato Paste,Raw Material,carton,670.07,60.65,0.0,12,7
2026-07-20,RM-004,Tomato Paste,Raw Material,carton,603.64,66.43,0.0,12,7
2026-07-21,RM-004,Tomato Paste,Raw Material,carton,539.5,64.15,0.0,12,7
2026-07-22,RM-004,Tomato Paste,Raw Material,carton,495.62,43.87,0.0,12,7
2026-07-23,RM-004,Tomato Paste,Raw Material,carton,443.12,52.51,0.0,12,7
2026-07-24,RM-004,Tomato Paste,Raw Material,carton,406.12,36.99,0.0,12,7
2026-07-25,RM-004,Tomato Paste,Raw Material,carton,355.39,50.73,0.0,12,7
2026-07-26,RM-004,Tomato Paste,Raw Material,carton,293.03,62.36,0.0,12,7
2026-07-27,RM-004,Tomato Paste,Raw Material,carton,243.6,49.43,0.0,12,7
2026-07-28,RM-004,Tomato Paste,Raw Material,carton,192.8,50.8,0.0,12,7
2026-07-29,RM-004,Tomato Paste,Raw Material,carton,135.64,57.15,0.0,12,7
2026-07-30,RM-004,Tomato Paste,Raw Material,carton,75.45,60.2,0.0,12,7
2026-07-01,RM-005,Packaging Film,Packaging,roll,1086.5,33.5,0.0,14,5
2026-07-02,RM-005,Packaging Film,Packaging,roll,1052.57,33.93,0.0,14,5
2026-07-03,RM-005,Packaging Film,Packaging,roll,1014.17,38.4,0.0,14,5
2026-07-04,RM-005,Packaging Film,Packaging,roll,978.11,36.07,0.0,14,5
2026-07-05,RM-005,Packaging Film,Packaging,roll,944.3,33.8,0.0,14,5
2026-07-06,RM-005,Packaging Film,Packaging,roll,907.98,36.32,0.0,14,5
2026-07-07,RM-005,Packaging Film,Packaging,roll,872.66,35.32,0.0,14,5
2026-07-08,RM-005,Packaging Film,Packaging,roll,836.59,36.07,0.0,14,5
2026-07-09,RM-005,Packaging Film,Packaging,roll,793.19,43.41,0.0,14,5
2026-07-10,RM-005,Packaging Film,Packaging,roll,759.47,33.72,0.0,14,5
2026-07-11,RM-005,Packaging Film,Packaging,roll,726.74,32.73,0.0,14,5
2026-07-12,RM-005,Packaging Film,Packaging,roll,685.8,40.94,0.0,14,5
2026-07-13,RM-005,Packaging Film,Packaging,roll,653.76,32.04,0.0,14,5
2026-07-14,RM-005,Packaging Film,Packaging,roll,611.54,42.22,0.0,14,5
2026-07-15,RM-005,Packaging Film,Packaging,roll,577.36,34.18,0.0,14,5
2026-07-16,RM-005,Packaging Film,Packaging,roll,542.05,35.31,0.0,14,5
2026-07-17,RM-005,Packaging Film,Packaging,roll,503.97,38.08,0.0,14,5
2026-07-18,RM-005,Packaging Film,Packaging,roll,463.87,40.1,0.0,14,5
2026-07-19,RM-005,Packaging Film,Packaging,roll,424.68,39.19,0.0,14,5
2026-07-20,RM-005,Packaging Film,Packaging,roll,390.54,34.14,0.0,14,5
2026-07-21,RM-005,Packaging Film,Packaging,roll,357.08,33.46,0.0,14,5
2026-07-22,RM-005,Packaging Film,Packaging,roll,320.62,36.46,0.0,14,5
2026-07-23,RM-005,Packaging Film,Packaging,roll,285.05,35.57,0.0,14,5
2026-07-24,RM-005,Packaging Film,Packaging,roll,252.75,32.3,0.0,14,5
2026-07-25,RM-005,Packaging Film,Packaging,roll,216.02,36.73,0.0,14,5
2026-07-26,RM-005,Packaging Film,Packaging,roll,176.85,39.18,0.0,14,5
2026-07-27,RM-005,Packaging Film,Packaging,roll,141.15,35.7,0.0,14,5
2026-07-28,RM-005,Packaging Film,Packaging,roll,99.58,41.57,0.0,14,5
2026-07-29,RM-005,Packaging Film,Packaging,roll,62.86,36.72,0.0,14,5
2026-07-30,RM-005,Packaging Film,Packaging,roll,28.51,34.35,0.0,14,5
2026-07-01,RM-006,Plastic Bottles,Packaging,pcs,25342.18,657.82,0.0,10,45
2026-07-02,RM-006,Plastic Bottles,Packaging,pcs,24735.87,606.31,0.0,10,45
2026-07-03,RM-006,Plastic Bottles,Packaging,pcs,24166.31,569.56,0.0,10,45
2026-07-04,RM-006,Plastic Bottles,Packaging,pcs,23479.14,687.17,0.0,10,45
2026-07-05,RM-006,Plastic Bottles,Packaging,pcs,22895.7,583.45,0.0,10,45
2026-07-06,RM-006,Plastic Bottles,Packaging,pcs,22273.64,622.05,0.0,10,45
2026-07-07,RM-006,Plastic Bottles,Packaging,pcs,21630.6,643.04,0.0,10,45
2026-07-08,RM-006,Plastic Bottles,Packaging,pcs,20950.56,680.04,0.0,10,45
2026-07-09,RM-006,Plastic Bottles,Packaging,pcs,20264.59,685.97,0.0,10,45
2026-07-10,RM-006,Plastic Bottles,Packaging,pcs,19610.36,654.23,0.0,10,45
2026-07-11,RM-006,Plastic Bottles,Packaging,pcs,19111.01,499.36,0.0,10,45
2026-07-12,RM-006,Plastic Bottles,Packaging,pcs,18477.12,633.89,0.0,10,45
2026-07-13,RM-006,Plastic Bottles,Packaging,pcs,17887.61,589.51,0.0,10,45
2026-07-14,RM-006,Plastic Bottles,Packaging,pcs,17246.3,641.31,0.0,10,45
2026-07-15,RM-006,Plastic Bottles,Packaging,pcs,23018.97,727.32,6500.0,10,45
2026-07-16,RM-006,Plastic Bottles,Packaging,pcs,22306.2,712.78,0.0,10,45
2026-07-17,RM-006,Plastic Bottles,Packaging,pcs,21639.01,667.19,0.0,10,45
2026-07-18,RM-006,Plastic Bottles,Packaging,pcs,20949.56,689.45,0.0,10,45
2026-07-19,RM-006,Plastic Bottles,Packaging,pcs,20415.66,533.9,0.0,10,45
2026-07-20,RM-006,Plastic Bottles,Packaging,pcs,19750.46,665.2,0.0,10,45
2026-07-21,RM-006,Plastic Bottles,Packaging,pcs,19051.75,698.71,0.0,10,45
2026-07-22,RM-006,Plastic Bottles,Packaging,pcs,18456.82,594.92,0.0,10,45
2026-07-23,RM-006,Plastic Bottles,Packaging,pcs,17775.24,681.59,0.0,10,45
2026-07-24,RM-006,Plastic Bottles,Packaging,pcs,16937.84,837.4,0.0,10,45
2026-07-25,RM-006,Plastic Bottles,Packaging,pcs,15954.98,982.85,0.0,10,45
2026-07-26,RM-006,Plastic Bottles,Packaging,pcs,14960.77,994.22,0.0,10,45
2026-07-27,RM-006,Plastic Bottles,Packaging,pcs,14139.58,821.19,0.0,10,45
2026-07-28,RM-006,Plastic Bottles,Packaging,pcs,13108.03,1031.55,0.0,10,45
2026-07-29,RM-006,Plastic Bottles,Packaging,pcs,12250.55,857.48,0.0,10,45
2026-07-30,RM-006,Plastic Bottles,Packaging,pcs,11155.93,1094.62,0.0,10,45
2026-07-01,RM-007,Labels,Packaging,roll,1127.65,42.35,0.0,7,5
2026-07-02,RM-007,Labels,Packaging,roll,1082.31,45.34,0.0,7,5
2026-07-03,RM-007,Labels,Packaging,roll,1036.16,46.15,0.0,7,5
2026-07-04,RM-007,Labels,Packaging,roll,995.21,40.95,0.0,7,5
2026-07-05,RM-007,Labels,Packaging,roll,959.53,35.68,0.0,7,5
2026-07-06,RM-007,Labels,Packaging,roll,918.85,40.68,0.0,7,5
2026-07-07,RM-007,Labels,Packaging,roll,868.02,50.83,0.0,7,5
2026-07-08,RM-007,Labels,Packaging,roll,824.79,43.23,0.0,7,5
2026-07-09,RM-007,Labels,Packaging,roll,781.56,43.24,0.0,7,5
2026-07-10,RM-007,Labels,Packaging,roll,728.37,53.19,0.0,7,5
2026-07-11,RM-007,Labels,Packaging,roll,680.7,47.67,0.0,7,5
2026-07-12,RM-007,Labels,Packaging,roll,631.91,48.79,0.0,7,5
2026-07-13,RM-007,Labels,Packaging,roll,582.32,49.59,0.0,7,5
2026-07-14,RM-007,Labels,Packaging,roll,542.22,40.1,0.0,7,5
2026-07-15,RM-007,Labels,Packaging,roll,496.55,45.67,0.0,7,5
2026-07-16,RM-007,Labels,Packaging,roll,450.74,45.81,0.0,7,5
2026-07-17,RM-007,Labels,Packaging,roll,406.6,44.14,0.0,7,5
2026-07-18,RM-007,Labels,Packaging,roll,367.5,39.1,0.0,7,5
2026-07-19,RM-007,Labels,Packaging,roll,319.99,47.5,0.0,7,5
2026-07-20,RM-007,Labels,Packaging,roll,283.95,36.04,0.0,7,5
2026-07-21,RM-007,Labels,Packaging,roll,244.01,39.94,0.0,7,5
2026-07-22,RM-007,Labels,Packaging,roll,203.38,40.63,0.0,7,5
2026-07-23,RM-007,Labels,Packaging,roll,160.6,42.77,0.0,7,5
2026-07-24,RM-007,Labels,Packaging,roll,93.72,66.88,0.0,7,5
2026-07-25,RM-007,Labels,Packaging,roll,20.9,72.83,0.0,7,5
2026-07-26,RM-007,Labels,Packaging,roll,0.0,73.31,0.0,7,5
2026-07-27,RM-007,Labels,Packaging,roll,0.0,66.63,0.0,7,5
2026-07-28,RM-007,Labels,Packaging,roll,0.0,63.96,0.0,7,5
2026-07-29,RM-007,Labels,Packaging,roll,0.0,43.72,0.0,7,5
2026-07-30,RM-007,Labels,Packaging,roll,0.0,68.99,0.0,7,5
2026-07-01,RM-008,Cleaning Chemical,Consumable,litre,917.11,32.89,0.0,14,4
2026-07-02,RM-008,Cleaning Chemical,Consumable,litre,890.75,26.36,0.0,14,4
2026-07-03,RM-008,Cleaning Chemical,Consumable,litre,865.05,25.7,0.0,14,4
2026-07-04,RM-008,Cleaning Chemical,Consumable,litre,837.96,27.1,0.0,14,4
2026-07-05,RM-008,Cleaning Chemical,Consumable,litre,810.77,27.19,0.0,14,4
2026-07-06,RM-008,Cleaning Chemical,Consumable,litre,785.37,25.4,0.0,14,4
2026-07-07,RM-008,Cleaning Chemical,Consumable,litre,761.49,23.88,0.0,14,4
2026-07-08,RM-008,Cleaning Chemical,Consumable,litre,735.4,26.09,0.0,14,4
2026-07-09,RM-008,Cleaning Chemical,Consumable,litre,714.52,20.88,0.0,14,4
2026-07-10,RM-008,Cleaning Chemical,Consumable,litre,695.16,19.35,0.0,14,4
2026-07-11,RM-008,Cleaning Chemical,Consumable,litre,666.08,29.08,0.0,14,4
2026-07-12,RM-008,Cleaning Chemical,Consumable,litre,642.46,23.63,0.0,14,4
2026-07-13,RM-008,Cleaning Chemical,Consumable,litre,615.31,27.15,0.0,14,4
2026-07-14,RM-008,Cleaning Chemical,Consumable,litre,585.64,29.66,0.0,14,4
2026-07-15,RM-008,Cleaning Chemical,Consumable,litre,556.98,28.66,0.0,14,4
2026-07-16,RM-008,Cleaning Chemical,Consumable,litre,533.64,23.34,0.0,14,4
2026-07-17,RM-008,Cleaning Chemical,Consumable,litre,507.67,25.97,0.0,14,4
2026-07-18,RM-008,Cleaning Chemical,Consumable,litre,486.17,21.5,0.0,14,4
2026-07-19,RM-008,Cleaning Chemical,Consumable,litre,461.48,24.69,0.0,14,4
2026-07-20,RM-008,Cleaning Chemical,Consumable,litre,433.34,28.14,0.0,14,4
2026-07-21,RM-008,Cleaning Chemical,Consumable,litre,408.25,25.1,0.0,14,4
2026-07-22,RM-008,Cleaning Chemical,Consumable,litre,391.8,16.45,0.0,14,4
2026-07-23,RM-008,Cleaning Chemical,Consumable,litre,373.56,18.25,0.0,14,4
2026-07-24,RM-008,Cleaning Chemical,Consumable,litre,350.96,22.6,0.0,14,4
2026-07-25,RM-008,Cleaning Chemical,Consumable,litre,321.96,29.0,0.0,14,4
2026-07-26,RM-008,Cleaning Chemical,Consumable,litre,296.36,25.6,0.0,14,4
2026-07-27,RM-008,Cleaning Chemical,Consumable,litre,270.94,25.42,0.0,14,4
2026-07-28,RM-008,Cleaning Chemical,Consumable,litre,249.89,21.05,0.0,14,4
2026-07-29,RM-008,Cleaning Chemical,Consumable,litre,224.45,25.44,0.0,14,4
2026-07-30,RM-008,Cleaning Chemical,Consumable,litre,206.27,18.17,0.0,14,4
2026-07-01,RM-009,Cartons,Packaging,pcs,5932.62,187.38,0.0,10,18
2026-07-02,RM-009,Cartons,Packaging,pcs,5727.14,205.47,0.0,10,18
2026-07-03,RM-009,Cartons,Packaging,pcs,5564.8,162.34,0.0,10,18
2026-07-04,RM-009,Cartons,Packaging,pcs,5361.38,203.42,0.0,10,18
2026-07-05,RM-009,Cartons,Packaging,pcs,5196.93,164.45,0.0,10,18
2026-07-06,RM-009,Cartons,Packaging,pcs,5013.75,183.18,0.0,10,18
2026-07-07,RM-009,Cartons,Packaging,pcs,4836.68,177.06,0.0,10,18
2026-07-08,RM-009,Cartons,Packaging,pcs,4654.66,182.03,0.0,10,18
2026-07-09,RM-009,Cartons,Packaging,pcs,4441.67,212.98,0.0,10,18
2026-07-10,RM-009,Cartons,Packaging,pcs,4242.64,199.03,0.0,10,18
2026-07-11,RM-009,Cartons,Packaging,pcs,4135.16,107.48,0.0,10,18
2026-07-12,RM-009,Cartons,Packaging,pcs,4056.98,78.18,0.0,10,18
2026-07-13,RM-009,Cartons,Packaging,pcs,3927.41,129.56,0.0,10,18
2026-07-14,RM-009,Cartons,Packaging,pcs,3799.69,127.73,0.0,10,18
2026-07-15,RM-009,Cartons,Packaging,pcs,5480.36,119.32,1800.0,10,18
2026-07-16,RM-009,Cartons,Packaging,pcs,5312.42,167.94,0.0,10,18
2026-07-17,RM-009,Cartons,Packaging,pcs,5097.89,214.53,0.0,10,18
2026-07-18,RM-009,Cartons,Packaging,pcs,4956.5,141.4,0.0,10,18
2026-07-19,RM-009,Cartons,Packaging,pcs,4793.44,163.06,0.0,10,18
2026-07-20,RM-009,Cartons,Packaging,pcs,4645.11,148.33,0.0,10,18
2026-07-21,RM-009,Cartons,Packaging,pcs,4457.09,188.02,0.0,10,18
2026-07-22,RM-009,Cartons,Packaging,pcs,4287.17,169.92,0.0,10,18
2026-07-23,RM-009,Cartons,Packaging,pcs,4061.57,225.6,0.0,10,18
2026-07-24,RM-009,Cartons,Packaging,pcs,3881.19,180.38,0.0,10,18
2026-07-25,RM-009,Cartons,Packaging,pcs,3706.34,174.84,0.0,10,18
2026-07-26,RM-009,Cartons,Packaging,pcs,3513.97,192.37,0.0,10,18
2026-07-27,RM-009,Cartons,Packaging,pcs,3349.79,164.18,0.0,10,18
2026-07-28,RM-009,Cartons,Packaging,pcs,3193.2,156.59,0.0,10,18
2026-07-29,RM-009,Cartons,Packaging,pcs,3001.64,191.56,0.0,10,18
2026-07-30,RM-009,Cartons,Packaging,pcs,2832.21,169.44,0.0,10,18
2026-07-01,RM-010,Yeast,Raw Material,kg,339.89,20.11,0.0,5,3
2026-07-02,RM-010,Yeast,Raw Material,kg,321.17,18.72,0.0,5,3
2026-07-03,RM-010,Yeast,Raw Material,kg,302.92,18.25,0.0,5,3
2026-07-04,RM-010,Yeast,Raw Material,kg,284.77,18.15,0.0,5,3
2026-07-05,RM-010,Yeast,Raw Material,kg,266.96,17.81,0.0,5,3
2026-07-06,RM-010,Yeast,Raw Material,kg,248.08,18.88,0.0,5,3
2026-07-07,RM-010,Yeast,Raw Material,kg,230.93,17.14,0.0,5,3
2026-07-08,RM-010,Yeast,Raw Material,kg,217.16,13.77,0.0,5,3
2026-07-09,RM-010,Yeast,Raw Material,kg,198.99,18.17,0.0,5,3
2026-07-10,RM-010,Yeast,Raw Material,kg,181.99,17.01,0.0,5,3
2026-07-11,RM-010,Yeast,Raw Material,kg,166.96,15.03,0.0,5,3
2026-07-12,RM-010,Yeast,Raw Material,kg,147.28,19.69,0.0,5,3
2026-07-13,RM-010,Yeast,Raw Material,kg,130.1,17.18,0.0,5,3
2026-07-14,RM-010,Yeast,Raw Material,kg,115.87,14.23,0.0,5,3
2026-07-15,RM-010,Yeast,Raw Material,kg,98.03,17.84,0.0,5,3
2026-07-16,RM-010,Yeast,Raw Material,kg,81.49,16.54,0.0,5,3
2026-07-17,RM-010,Yeast,Raw Material,kg,67.16,14.32,0.0,5,3
2026-07-18,RM-010,Yeast,Raw Material,kg,48.49,18.67,0.0,5,3
2026-07-19,RM-010,Yeast,Raw Material,kg,32.76,15.73,0.0,5,3
2026-07-20,RM-010,Yeast,Raw Material,kg,13.21,19.55,0.0,5,3
2026-07-21,RM-010,Yeast,Raw Material,kg,0.0,16.06,0.0,5,3
2026-07-22,RM-010,Yeast,Raw Material,kg,0.0,20.11,0.0,5,3
2026-07-23,RM-010,Yeast,Raw Material,kg,0.0,18.92,0.0,5,3
2026-07-24,RM-010,Yeast,Raw Material,kg,0.0,18.23,0.0,5,3
2026-07-25,RM-010,Yeast,Raw Material,kg,0.0,16.37,0.0,5,3
2026-07-26,RM-010,Yeast,Raw Material,kg,0.0,19.95,0.0,5,3
2026-07-27,RM-010,Yeast,Raw Material,kg,0.0,19.09,0.0,5,3
2026-07-28,RM-010,Yeast,Raw Material,kg,0.0,17.22,0.0,5,3
2026-07-29,RM-010,Yeast,Raw Material,kg,0.0,19.25,0.0,5,3
2026-07-30,RM-010,Yeast,Raw Material,kg,0.0,15.78,0.0,5,3
2026-07-01,RM-011,Coffee Beans,Raw Material,kg,971.38,18.62,0.0,9,4
2026-07-02,RM-011,Coffee Beans,Raw Material,kg,949.63,21.75,0.0,9,4
2026-07-03,RM-011,Coffee Beans,Raw Material,kg,927.44,22.19,0.0,9,4
2026-07-04,RM-011,Coffee Beans,Raw Material,kg,904.31,23.13,0.0,9,4
2026-07-05,RM-011,Coffee Beans,Raw Material,kg,882.14,22.17,0.0,9,4
2026-07-06,RM-011,Coffee Beans,Raw Material,kg,856.87,25.28,0.0,9,4
2026-07-07,RM-011,Coffee Beans,Raw Material,kg,838.27,18.59,0.0,9,4
2026-07-08,RM-011,Coffee Beans,Raw Material,kg,814.77,23.5,0.0,9,4
2026-07-09,RM-011,Coffee Beans,Raw Material,kg,792.18,22.6,0.0,9,4
2026-07-10,RM-011,Coffee Beans,Raw Material,kg,766.6,25.58,0.0,9,4
2026-07-11,RM-011,Coffee Beans,Raw Material,kg,744.27,22.33,0.0,9,4
2026-07-12,RM-011,Coffee Beans,Raw Material,kg,721.43,22.84,0.0,9,4
2026-07-13,RM-011,Coffee Beans,Raw Material,kg,694.78,26.65,0.0,9,4
2026-07-14,RM-011,Coffee Beans,Raw Material,kg,670.68,24.1,0.0,9,4
